City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,volokolamsk,56.0336,35.9694,22.19,94,100,8.7,RU,1707678231
310,luau,-10.7073,22.2247,68.67,91,14,4.27,AO,1707678232
311,mata-utu,-13.2816,-176.1745,82.81,83,42,20.49,WF,1707678233
312,ust-nera,64.5667,143.2,-29.6,100,98,2.66,RU,1707678234
313,clinton,42.587,-82.9199,39.07,66,75,6.91,US,1707678146
314,okha,53.5739,142.9478,-12.55,100,99,4.34,RU,1707678236
315,dzuunharaa,48.8523,106.4579,18.81,76,100,6.55,MN,1707678237
316,maceio,-9.6658,-35.7353,87.24,74,75,14.97,BR,1707678016
317,ta`u,-14.2336,-169.5144,83.55,80,100,13.35,AS,1707678239
318,pospelikha,51.95,81.7667,-0.18,97,9,8.52,RU,1707678240
319,luba,3.4568,8.5547,84.09,84,100,12.46,GQ,1707678242
320,bantay,17.5847,120.3892,71.82,72,59,9.17,PH,1707678243
321,sokoni,-6.4333,39.55,83.12,80,100,12.68,TZ,1707678244
322,krasnokholmskiy,55.9873,55.0466,-2.76,100,100,4.34,RU,1707678247
323,hampton bays,40.869,-72.5176,48.0,64,0,7.0,US,1707678248
324,qashyr,53.0675,76.1036,4.28,92,100,16.24,KZ,1707678249
325,al mijlad,11.0333,27.7333,80.55,12,0,13.4,SD,1707678250
326,inirida,3.8653,-67.9239,91.92,51,80,3.65,CO,1707678251
327,sucre,-19.0333,-65.2627,67.53,62,100,4.99,BO,1707678252
328,thunder bay,48.4001,-89.3168,22.98,86,75,4.61,CA,1707678120
329,lebanon,36.2081,-86.2911,56.48,86,100,4.61,US,1707678041
330,lae,-6.7221,146.9847,76.82,89,62,6.87,PG,1707678255
331,oppdal,62.5943,9.6912,15.17,88,100,13.85,NO,1707678256
332,lebu,-37.6167,-73.65,59.49,83,100,19.8,CL,1707678138
333,rocky mountain house,52.3668,-114.9188,30.31,59,75,1.14,CA,1707678161
334,cidreira,-30.1811,-50.2056,88.56,54,64,9.69,BR,1707678259
335,salinopolis,-0.6136,-47.3561,81.12,86,96,10.29,BR,1707678260
336,yur'yevets,57.3201,43.1041,1.4,97,85,7.25,RU,1707678262
337,danao,10.5208,124.0272,78.85,88,8,13.18,PH,1707678263
338,kodinsk,58.6881,99.1844,7.81,92,100,8.77,RU,1707678264
339,souillac,-20.5167,57.5167,81.36,89,75,9.22,MU,1707678063
340,banda aceh,5.5577,95.3222,82.99,74,0,27.54,ID,1707678266
341,erenhot,43.6475,111.9767,16.54,82,5,7.05,CN,1707678267
342,kirakira,-10.4544,161.9205,79.21,86,93,10.27,SB,1707678268
343,mantyharju,61.4167,26.8833,5.11,97,85,5.66,FI,1707678269
344,inhambane,-23.865,35.3833,78.01,83,40,13.0,MZ,1707678270
345,miri,4.4148,114.0089,78.94,89,20,5.75,MY,1707678272
346,tamala,52.541,43.2515,13.03,94,100,13.6,RU,1707678273
347,nyurba,63.2842,118.3319,-16.71,97,100,9.08,RU,1707678274
348,kolonia,50.9333,6.95,49.87,82,75,5.75,DE,1707678275
349,howard springs,-12.497,131.047,76.91,95,100,8.37,AU,1707678276
350,kattivakkam,13.2167,80.3167,77.09,72,48,8.46,IN,1707678277
351,aykhal,66.0,111.5,-31.34,99,100,8.32,RU,1707678278
352,vilyuchinsk,52.9306,158.4028,1.92,88,16,8.9,RU,1707678279
353,pangkalanbuun,-2.6833,111.6167,74.59,99,100,1.66,ID,1707678281
354,filadelfia,39.9523,-75.1638,49.42,64,100,8.05,US,1707677998
355,mandalgovi,45.7625,106.2708,10.38,80,1,8.57,MN,1707678283
356,tosontsengel,48.7567,98.2839,17.15,74,100,4.03,MN,1707678284
357,ciudad lazaro cardenas,17.9583,-102.2,81.03,60,0,8.46,MX,1707678285
358,palikir - national government center,6.9248,158.1611,81.34,74,100,9.22,FM,1707678286
359,san marcos,33.1434,-117.1661,64.89,35,0,3.0,US,1707678005
360,yoichi,43.2039,140.7703,30.63,63,100,12.28,JP,1707678288
361,kone,-21.0595,164.8658,74.35,92,2,2.39,NC,1707678289
